path_id,length,diagnosis,path
21,7,Thalassemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
22,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
23,6,Chronic_Kidney_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Kidney_Disease_Anemia_Diagnosis
24,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
25,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Repeat_CBC -> CBC -> MCV_Analysis -> Reticulocyte_Count -> IDA_Diagnosis
26,5,B12_Deficiency_Diagnosis,Start -> CBC -> B12_Folate_Test -> Methylmalonic_Acid_Test -> B12_Deficiency_Diagnosis
27,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
28,8,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> Repeat_Reticulocyte -> Reticulocyte_Count -> Repeat_Reticulocyte -> Hemolytic_Anemia_Diagnosis
29,6,IDA_Diagnosis,Start -> CBC -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
30,5,MDS_Diagnosis,Start -> CBC -> B12_Folate_Test -> Bone_Marrow_Biopsy -> MDS_Diagnosis
31,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
32,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
33,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
34,6,B12_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Methylmalonic_Acid_Test -> B12_Deficiency_Diagnosis
35,7,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
36,5,Folate_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Folate_Deficiency_Diagnosis
37,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
38,7,Thalassemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
39,6,B12_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Methylmalonic_Acid_Test -> B12_Deficiency_Diagnosis
40,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
41,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
42,7,Thalassemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
43,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
44,5,Folate_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Folate_Deficiency_Diagnosis
45,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
46,7,Thalassemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
47,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
48,5,B12_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> B12_Deficiency_Diagnosis
49,5,MDS_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> MDS_Diagnosis
50,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
51,7,Thalassemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
52,6,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Disease_Anemia_Diagnosis
53,6,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Disease_Anemia_Diagnosis
54,6,B12_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Methylmalonic_Acid_Test -> B12_Deficiency_Diagnosis
55,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Repeat_Iron_Panel -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
56,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
57,6,IDA_Diagnosis,Start -> CBC -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
58,8,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Coombs_Test -> Hemolytic_Anemia_Diagnosis
59,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Repeat_CBC -> CBC -> MCV_Analysis -> Iron_Studies -> IDA_Diagnosis
60,5,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
61,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
62,6,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Reticulocyte_Count -> Hemolytic_Anemia_Diagnosis
63,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
64,6,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Disease_Anemia_Diagnosis
65,7,Thalassemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
66,5,MDS_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> MDS_Diagnosis
67,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
68,7,IDA_Diagnosis,Start -> CBC -> Iron_Studies -> Repeat_Iron_Panel -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
69,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
70,6,Hemolytic_Anemia_Diagnosis,Start -> CBC -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
71,5,MDS_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> MDS_Diagnosis
72,7,Thalassemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
73,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
74,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
75,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
76,5,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> IDA_Diagnosis
77,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
78,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Repeat_CBC -> CBC -> MCV_Analysis -> Reticulocyte_Count -> IDA_Diagnosis
79,8,Hemolytic_Anemia_Diagnosis,Start -> CBC -> Reticulocyte_Count -> Repeat_Reticulocyte -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
80,5,MDS_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> MDS_Diagnosis
81,5,MDS_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> MDS_Diagnosis
82,7,Chronic_Kidney_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Kidney_Disease_Anemia_Diagnosis
83,5,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
84,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
85,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
86,5,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> Hemolytic_Anemia_Diagnosis
87,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
88,5,Folate_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Folate_Deficiency_Diagnosis
89,6,MDS_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Bone_Marrow_Biopsy -> MDS_Diagnosis
90,6,Chronic_Kidney_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Kidney_Disease_Anemia_Diagnosis
91,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
92,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
93,5,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
94,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
95,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
96,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
97,6,Aplastic_Anemia_Diagnosis,Start -> CBC -> Reticulocyte_Count -> EPO_Level_Test -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
98,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Repeat_CBC -> CBC -> Iron_Studies -> Repeat_Iron_Panel -> IDA_Diagnosis
99,5,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
100,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
101,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
102,5,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> IDA_Diagnosis
103,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
104,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
105,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> Repeat_Reticulocyte -> Reticulocyte_Count -> Hemolytic_Anemia_Diagnosis
106,8,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Coombs_Test -> Hemolytic_Anemia_Diagnosis
107,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
108,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Repeat_Iron_Panel -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
109,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
110,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
111,6,Aplastic_Anemia_Diagnosis,Start -> CBC -> Reticulocyte_Count -> EPO_Level_Test -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
112,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Repeat_CBC -> CBC -> MCV_Analysis -> IDA_Diagnosis
113,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
114,8,Thalassemia_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
115,7,Autoimmune_Hemolytic_Diagnosis,Start -> CBC -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Coombs_Test -> Autoimmune_Hemolytic_Diagnosis
116,6,B12_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Methylmalonic_Acid_Test -> B12_Deficiency_Diagnosis
117,6,Chronic_Kidney_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Kidney_Disease_Anemia_Diagnosis
118,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
119,9,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Reticulocyte_Count -> Repeat_Reticulocyte -> Reticulocyte_Count -> LDH_Test -> Hemolytic_Anemia_Diagnosis
120,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
121,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
122,5,B12_Deficiency_Diagnosis,Start -> CBC -> B12_Folate_Test -> Methylmalonic_Acid_Test -> B12_Deficiency_Diagnosis
123,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
124,6,B12_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Methylmalonic_Acid_Test -> B12_Deficiency_Diagnosis
125,6,Chronic_Kidney_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Kidney_Disease_Anemia_Diagnosis
126,7,MDS_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> EPO_Level_Test -> Bone_Marrow_Biopsy -> MDS_Diagnosis
127,6,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Reticulocyte_Count -> Hemolytic_Anemia_Diagnosis
128,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
129,5,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Disease_Anemia_Diagnosis
130,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
131,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
132,5,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
133,5,B12_Deficiency_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> B12_Deficiency_Diagnosis
134,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
135,8,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Repeat_Iron_Panel -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
136,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
137,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
138,4,IDA_Diagnosis,Start -> CBC -> Iron_Studies -> IDA_Diagnosis
139,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
140,6,Thalassemia_Diagnosis,Start -> CBC -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
141,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
142,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Repeat_Iron_Panel -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
143,8,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Repeat_CBC -> CBC -> Reticulocyte_Count -> LDH_Test -> Hemolytic_Anemia_Diagnosis
144,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
145,7,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Hemolytic_Anemia_Diagnosis
146,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
147,5,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> IDA_Diagnosis
148,5,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> IDA_Diagnosis
149,6,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Repeat_CBC -> CBC -> IDA_Diagnosis
150,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Reticulocyte_Count -> EPO_Level_Test -> Chronic_Disease_Anemia_Diagnosis
151,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
152,9,Hemolytic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Coombs_Test -> Hemolytic_Anemia_Diagnosis
153,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Repeat_Iron_Panel -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
154,8,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Repeat_Iron_Panel -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
155,6,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
156,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
157,5,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> IDA_Diagnosis
158,6,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
159,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
160,5,B12_Deficiency_Diagnosis,Start -> CBC -> B12_Folate_Test -> Methylmalonic_Acid_Test -> B12_Deficiency_Diagnosis
161,6,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> B12_Folate_Test -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
162,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
163,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
164,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
165,7,Autoimmune_Hemolytic_Diagnosis,Start -> CBC -> Reticulocyte_Count -> LDH_Test -> Haptoglobin_Test -> Coombs_Test -> Autoimmune_Hemolytic_Diagnosis
166,4,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> IDA_Diagnosis
167,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
168,6,IDA_Diagnosis,Start -> CBC -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
169,5,Aplastic_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Bone_Marrow_Biopsy -> Aplastic_Anemia_Diagnosis
170,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
171,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
172,7,Thalassemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Thalassemia_Diagnosis
173,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
174,7,Chronic_Disease_Anemia_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> Hemoglobin_Electrophoresis -> Chronic_Disease_Anemia_Diagnosis
175,6,IDA_Diagnosis,Start -> CBC -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
176,7,IDA_Diagnosis,Start -> CBC -> MCV_Analysis -> Iron_Studies -> Ferritin_Test -> TIBC_Test -> IDA_Diagnosis
